; "SupportedThreads",176,"UsedThreads",88,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599474236,"CurrentTimeLocal","Mon Sep  7 12:23:56 2020","Hostname","taurusml27","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00017
; "Time_ContextDestroy [ms]", 4.9e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,0,2,"Success",0.011842,0.091016,0.07113,0.294208,6.563648,11.987213,0.125814,0.074091,19.219348,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,1,2,"Success",0.009857,0.061324,0.066861,0.238515,6.643356,11.9653,0.131139,0.058412,19.175157,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,2,2,"Success",0.009908,0.059773,0.066504,0.249923,6.991864,11.989636,0.122431,0.057894,19.548564,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,3,2,"Success",0.009113,0.056176,0.065146,0.239796,7.136496,12.033254,0.124043,0.059893,19.724344,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,4,2,"Success",0.008605,0.057596,0.065367,0.243055,6.742112,12.245327,0.122386,0.057939,19.54304,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,5,2,"Success",0.009449,0.056258,0.064924,0.243086,7.361302,12.238134,0.125834,0.058266,20.157648,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,6,2,"Success",0.013964,0.05541,0.064861,0.25123,7.299006,12.222535,0.126248,0.058779,20.092443,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,7,2,"Success",0.009251,0.054873,0.064174,0.244468,7.193531,12.240124,0.126398,0.058857,19.992147,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,8,2,"Success",0.00872,0.054832,0.064371,0.24864,6.781851,12.23331,0.130177,0.055609,19.577964,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,9,2,"Success",0.008789,0.055297,0.06443,0.246657,7.068391,12.227021,0.128396,0.058936,19.858586,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,10,2,"Success",0.009191,0.054729,0.063197,0.251929,6.830945,12.232388,0.127181,0.058811,19.62878,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,11,2,"Success",0.013039,0.055621,0.063455,0.239814,6.662008,12.241236,0.128166,0.057447,19.461195,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,12,2,"Success",0.008681,0.053555,0.063397,0.255958,6.772012,12.231749,0.127154,0.05752,19.570531,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,13,2,"Success",0.009585,0.055184,0.063392,0.249978,7.073152,12.22981,0.130218,0.058856,19.870628,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,14,2,"Success",0.009654,0.054558,0.062789,0.246867,6.685958,12.234156,0.12549,0.05726,19.47714,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,15,2,"Success",0.009136,0.055059,0.06307,0.245708,6.831635,12.245567,0.120842,0.057098,19.62859,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,16,2,"Success",0.008779,0.053924,0.063525,0.245449,6.84124,12.240795,0.125049,0.057739,19.636943,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,17,2,"Success",0.008304,0.054502,0.063461,0.25006,6.775101,12.238767,0.129767,0.056527,19.576897,6034320,0,2996352,2.9388303756e-15,0
