; "SupportedThreads",176,"UsedThreads",88,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599474337,"CurrentTimeLocal","Mon Sep  7 12:25:37 2020","Hostname","taurusml27","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000117
; "Time_ContextDestroy [ms]", 7.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,0,2,"Success",0.011363,28.337837,28.540059,0.291376,203.57648,201.834441,0.29202,1.025284,463.90949,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,1,2,"Success",0.010056,28.252754,28.573281,0.290584,206.744815,201.725757,0.29323,0.946732,466.837816,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,2,2,"Success",0.01541,28.244223,28.563486,0.311106,205.299215,202.191684,0.293581,0.951912,465.87122,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,3,2,"Success",0.015697,28.25881,28.602227,0.316962,203.796955,201.437255,0.291505,0.883849,463.603884,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,4,2,"Success",0.000281,28.310983,28.529174,0.192757,207.558785,201.882045,0.293793,0.983522,467.752409,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,5,2,"Success",0.016667,28.371844,28.551025,0.3138,206.605941,202.048559,0.307411,0.966657,467.182524,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,6,2,"Success",0.01572,28.36001,28.604502,0.307296,206.400372,201.499408,0.292773,0.947874,466.428662,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,7,2,"Success",0.014964,28.362911,28.55362,0.312909,207.121824,202.224975,0.292934,0.948477,467.833404,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,8,2,"Success",0.015308,28.361362,28.579689,0.306913,206.502925,201.44105,0.292764,0.877335,466.378214,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,9,2,"Success",0.00037,28.226458,28.522572,0.192019,205.616105,202.285713,0.305032,0.963122,466.112066,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,10,2,"Success",0.012158,28.355242,28.522054,0.309933,207.088344,201.606262,0.293668,0.970949,467.159335,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,11,2,"Success",0.020345,28.269404,28.620285,0.312982,204.620859,201.563849,0.294882,0.95643,464.659745,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,12,2,"Success",0.016316,28.302408,28.559431,0.312449,204.18347,201.864735,0.292781,0.951509,464.483759,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,13,2,"Success",0.015509,28.363928,28.600104,0.314872,206.768349,201.633714,0.291791,0.889404,466.878404,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,14,2,"Success",0.000337,28.331829,28.526663,0.19121,207.264454,201.728484,0.308882,0.971395,467.324161,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,15,2,"Success",0.012474,28.364217,28.549746,0.310006,207.209188,201.955836,0.309694,0.967864,467.679823,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,16,2,"Success",0.015156,28.379123,28.619282,0.302103,206.755254,201.784439,0.307517,0.950888,467.11451,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,17,2,"Success",0.015703,28.366969,28.585701,0.306757,206.792105,201.926385,0.294177,0.951648,467.240126,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,18,2,"Success",0.015752,28.35942,28.554858,0.308262,202.884656,201.755926,0.294152,0.911067,463.084851,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,19,2,"Success",0.000299,28.32364,28.542613,0.191684,206.543267,201.749239,0.293205,0.967194,466.611906,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,0,3,"Success",0.010881,23.706644,27.608127,0.386928,1.833993,0.440207,0.35299,0.973393,55.313771,7308400,0,3630000,1.4700598092e-16,0
