; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404309733376,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1603178553,"CurrentTimeLocal","Tue Oct 20 09:22:33 2020","Hostname","csk097.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 9.5e-05
; "Time_ContextDestroy [ms]", 3.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,0,64,"Warmup",0.003951,166.577512,162.37798,0.046203,0.2911,0.108715,0.014425,0.297886,329.718341,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,1,64,"Warmup",0.004299,159.561134,161.397529,0.008728,0.129396,0.109035,0.016168,0.343964,321.570767,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,2,64,"Success",0.003893,164.129899,161.151885,0.008936,0.301794,0.110877,0.020032,0.310513,326.038811,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,3,64,"Success",0.00381,159.551849,171.548331,0.00932,0.287385,0.110363,0.019708,0.310386,331.841778,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,4,64,"Success",0.003994,158.908037,160.992305,0.008155,0.12897,0.110321,0.016859,0.35103,320.520369,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,5,64,"Success",0.003804,163.744517,161.036099,0.009452,0.132423,0.107883,0.017472,0.333211,325.385507,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,6,64,"Success",0.00374,159.66689,160.422448,0.018976,0.294307,0.108243,0.018112,0.307122,320.840588,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,7,64,"Success",0.004021,160.524234,160.090286,0.021487,0.296642,0.111651,0.015063,0.315039,321.378947,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,8,64,"Success",0.003893,160.388301,163.201943,0.008656,0.138346,0.109618,0.017021,0.325257,324.193664,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,9,64,"Success",0.003766,160.01681,160.863903,0.010038,0.115121,0.110631,0.017065,0.321066,321.458986,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,10,64,"Success",0.004068,159.571861,160.561186,0.008549,0.13291,0.110244,0.018306,0.336724,320.744463,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,11,64,"Success",0.003784,160.471792,163.721939,0.008449,0.325881,0.109466,0.019735,0.30626,324.967911,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,0,65,"Warmup",0.004095,872.977531,869.009475,0.552822,0.567909,0.477703,0.200728,0.36577,1744.156551,1042568,0,1042568,8.338712306e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,1,65,"Warmup",0.004138,858.398632,852.869067,0.17785,0.506546,0.486291,0.208123,0.369415,1713.020768,1042568,0,1042568,8.338712306e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,2,65,"Success",0.004161,857.456094,859.637799,0.178423,0.505235,0.48257,0.215624,0.367935,1718.84836,1042568,0,1042568,8.338712306e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,3,65,"Success",0.004126,861.761798,856.069542,0.181547,0.494343,0.496103,0.200628,0.367272,1719.575921,1042568,0,1042568,8.338712306e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,4,65,"Success",0.004056,858.28007,866.055974,1.074584,1.362479,0.498282,0.200154,0.424457,1727.90068,1042568,0,1042568,8.338712306e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,5,65,"Success",0.00414,852.917639,859.542016,0.180668,0.498124,0.477942,0.221964,0.408582,1714.251851,1042568,0,1042568,8.338712306e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,6,65,"Success",0.004191,859.485618,881.420906,0.178759,0.50776,0.478801,0.202824,0.406114,1742.685722,1042568,0,1042568,8.338712306e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,7,65,"Success",0.004165,872.331625,857.257851,0.567961,0.511411,0.499194,0.196652,0.374336,1731.743855,1042568,0,1042568,8.338712306e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,8,65,"Success",0.004206,864.387449,857.947936,0.178795,0.493541,0.486286,0.202667,0.394478,1724.096001,1042568,0,1042568,8.338712306e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,9,65,"Success",0.004089,857.074714,862.169806,0.181154,0.510267,0.479319,0.201007,0.394664,1721.015706,1042568,0,1042568,8.338712306e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,10,65,"Success",0.004158,869.562094,858.685655,0.177786,0.5152,0.487016,0.203425,0.379861,1730.016085,1042568,0,1042568,8.338712306e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,11,65,"Success",0.00438,858.694973,859.332643,0.182529,0.498609,0.498333,0.198963,0.370824,1719.781762,1042568,0,1042568,8.338712306e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,0,66,"Warmup",0.012175,6787.039998,6641.773377,6.326263,11.801792,11.438322,3.338164,0.773858,13462.504841,19808792,0,19808792,1.2887521773e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,1,66,"Warmup",0.004236,17260.193221,6654.297611,7.506173,12.404397,11.889817,3.994283,0.709443,23951.000188,19808792,0,19808792,1.2887521773e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,2,66,"Success",0.00419,6615.703889,6908.077665,5.894544,11.962895,11.638668,3.921119,0.728321,13557.931926,19808792,0,19808792,1.2887521773e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,3,66,"Success",0.004223,7112.690304,6651.100483,5.997394,11.46203,11.19436,3.896228,0.748265,13797.094255,19808792,0,19808792,1.2887521773e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,4,66,"Success",0.004256,6601.87237,6638.470585,5.978673,12.434693,11.20682,3.773448,0.745846,13274.487388,19808792,0,19808792,1.2887521773e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,5,66,"Success",0.004203,6691.259809,6866.771,6.637699,11.49731,11.254263,3.62954,0.759262,13591.813976,19808792,0,19808792,1.2887521773e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,6,66,"Success",0.004207,6715.95594,6690.029367,6.636247,11.450361,11.128324,3.541181,0.812243,13439.558671,19808792,0,19808792,1.2887521773e-07,0
