; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404363354112,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1586147422,"CurrentTimeLocal","Mon Apr  6 06:30:22 2020","Hostname","csk012.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 9.1e-05
; "Time_ContextDestroy [ms]", 3.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,0,68,"Warmup",0.00022,35.726388,35.607802,0.00036,0.054862,0.053757,0.000708,0.009287,71.453873,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,1,68,"Warmup",0.000213,35.702637,35.578737,0.000217,0.063312,0.052248,0.000762,0.009881,71.408612,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,2,68,"Success",0.000205,36.131061,35.760596,0.000213,0.053966,0.052731,0.000773,0.008388,72.008503,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,3,68,"Success",0.000204,35.988323,35.968035,0.000211,0.056198,0.056747,0.000846,0.008875,72.080007,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,4,68,"Success",0.000226,36.028991,35.759811,0.000205,0.049788,0.05059,0.000643,0.0098,71.90054,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,5,68,"Success",0.000226,36.215798,36.119806,0.000248,0.048471,0.053781,0.000715,0.008668,72.448245,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,6,68,"Success",0.000206,36.015317,35.866685,0.000213,0.050046,0.056044,0.000754,0.008308,71.998031,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,7,68,"Success",0.000212,43.579484,36.930443,0.002259,0.053545,0.050034,0.000819,0.009271,80.626556,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,8,68,"Success",0.000215,35.775106,36.044201,0.000207,0.051546,0.051644,0.000744,0.009693,71.934126,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,9,68,"Success",0.00022,35.8033,35.797337,0.000218,0.050155,0.048978,0.00077,0.008364,71.709864,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,10,68,"Success",0.000247,35.703686,35.753324,0.000269,0.045744,0.055931,0.000675,0.008638,71.569353,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,11,68,"Success",0.000196,35.818247,39.116456,0.000228,0.047332,0.052793,0.000476,0.008761,75.045305,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,0,69,"Warmup",0.000261,257.299596,253.620337,0.010407,0.115579,0.114531,0.014449,0.121451,511.297161,54872,0,54872,7.5449420855e-08,0
