; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404351811584,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1586917742,"CurrentTimeLocal","Wed Apr 15 04:29:02 2020","Hostname","csk064.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.5e-05
; "Time_ContextDestroy [ms]", 3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,0,51,"Warmup",0.000162,1.588332,1.166437,0.00016,0.000342,0.000275,7.3e-05,0.000582,2.75674,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,1,51,"Warmup",0.00013,1.193274,1.174869,7.6e-05,0.000284,0.000271,6.8e-05,0.000482,2.369826,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,2,51,"Success",0.000134,1.175731,1.173281,5e-05,0.000399,0.000282,5.1e-05,0.000486,2.350744,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,3,51,"Success",9.7e-05,1.175157,1.149809,5.6e-05,0.000389,0.000278,5.1e-05,0.000408,2.326606,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,4,51,"Success",0.000116,1.149559,1.174334,8.6e-05,0.000526,0.00028,5e-05,0.000428,2.325732,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,5,51,"Success",0.000134,1.179681,1.154119,5.9e-05,0.000323,0.000265,5.2e-05,0.00041,2.335392,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,6,51,"Success",0.000114,1.179878,1.159083,7.4e-05,0.000409,0.00028,4.9e-05,0.000549,2.340782,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,7,51,"Success",0.000108,1.191652,1.205363,8.1e-05,0.000385,0.00027,5.4e-05,0.000425,2.398675,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,8,51,"Success",0.000153,1.174391,1.160992,0.000101,0.000323,0.00028,4.8e-05,0.000483,2.337125,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,9,51,"Success",0.000115,1.164648,1.123848,9e-05,0.000418,0.000282,3.7e-05,0.000397,2.290183,152,0,152,3.877719026e-08,0
