; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404363345920,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1586040745,"CurrentTimeLocal","Sun Apr  5 00:52:25 2020","Hostname","csk017.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7.9e-05
; "Time_ContextDestroy [ms]", 3.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,0,68,"Warmup",0.000161,0.151357,0.135352,8.5e-05,0.000675,0.000227,0.000122,0.000471,0.288766,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,1,68,"Warmup",0.000132,0.138528,0.133426,8e-05,0.000311,0.000188,5.3e-05,0.000323,0.273363,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,2,68,"Success",0.000105,0.137516,0.132635,5.4e-05,0.000243,0.0002,4.3e-05,0.000332,0.271395,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,3,68,"Success",0.000102,0.141916,0.132865,0.000111,0.000234,0.000197,4.4e-05,0.000361,0.276121,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,4,68,"Success",7.8e-05,0.136289,0.132361,5.3e-05,0.000224,0.000199,3.6e-05,0.000299,0.269835,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,5,68,"Success",8.9e-05,0.135988,0.137239,6.4e-05,0.000228,0.000193,4.2e-05,0.00031,0.274459,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,6,68,"Success",7.7e-05,0.136447,0.132241,6e-05,0.000224,0.000191,4.3e-05,0.000303,0.269906,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,7,68,"Success",9.3e-05,0.135777,0.132055,7e-05,0.000234,0.000189,4.2e-05,0.000308,0.269061,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,8,68,"Success",0.0001,0.1388,0.132171,5.3e-05,0.000237,0.000208,4.2e-05,0.000291,0.27218,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,9,68,"Success",0.000108,0.135335,0.132088,6.6e-05,0.000217,0.000185,5.7e-05,0.000309,0.268662,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,10,68,"Success",7.6e-05,0.140575,0.131925,4.7e-05,0.000221,0.000197,4.4e-05,0.000284,0.273668,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,11,68,"Success",8.4e-05,0.135156,0.13164,6.1e-05,0.000225,0.000182,2.9e-05,0.00027,0.267954,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,0,69,"Warmup",0.000283,3.001077,2.928071,0.000393,0.155906,0.079698,0.000844,0.028797,6.195511,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,1,69,"Warmup",0.000223,2.975006,2.928133,0.000264,0.073872,0.079373,0.000758,0.028363,6.086397,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,2,69,"Success",0.000243,2.975044,2.922587,0.000261,0.081773,0.086663,0.001033,0.02829,6.096428,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,3,69,"Success",0.000223,2.966891,2.924495,0.000234,0.076608,0.082525,0.000585,0.028417,6.080523,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,4,69,"Success",0.000212,2.961558,2.970973,0.000279,0.080533,0.076911,0.000981,0.02878,6.12211,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,5,69,"Success",0.000161,2.9682,2.933832,0.000285,0.075406,0.08042,0.001034,0.051275,6.111085,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,6,69,"Success",0.000226,2.966375,2.92805,0.000285,0.080406,0.079728,0.001211,0.029949,6.086714,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,7,69,"Success",0.000228,2.974625,2.924801,0.000289,0.08075,0.080555,0.000808,0.029239,6.091686,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,8,69,"Success",0.000226,2.965799,2.921043,0.000263,0.077508,0.09594,0.000647,0.029896,6.091707,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,9,69,"Success",0.000203,2.964721,2.941525,0.000238,0.084018,0.081794,0.000927,0.028248,6.102046,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,10,69,"Success",0.000238,2.97602,2.939845,0.00025,0.073368,0.078455,0.000752,0.027794,6.097129,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,11,69,"Success",0.000229,2.936137,2.936985,0.000261,0.100494,0.082628,0.000622,0.028091,6.085869,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,0,70,"Warmup",0.000293,31.779909,27.23224,0.005235,0.480416,0.298226,0.014447,0.137586,59.948914,54872,0,54872,7.1748049178e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,1,70,"Warmup",0.000226,31.832693,27.223372,0.007783,0.505462,0.193155,0.014463,0.15104,59.928745,54872,0,54872,7.1748049178e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,2,70,"Success",0.000349,31.912913,27.208806,0.00779,0.388796,0.1941,0.013696,0.142529,59.869501,54872,0,54872,7.1748049178e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,3,70,"Success",0.000396,31.832201,27.229636,0.008802,0.540718,0.243857,0.014495,0.159676,60.030347,54872,0,54872,7.1748049178e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,4,70,"Success",0.000206,31.844269,27.237451,0.00707,0.447215,0.262376,0.013859,0.155126,59.968046,54872,0,54872,7.1748049178e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,5,70,"Success",0.000322,31.846712,27.292098,0.007579,0.450728,0.239872,0.014473,0.152545,60.004882,54872,0,54872,7.1748049178e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,6,70,"Success",0.000269,31.92968,27.240679,0.007937,0.458286,0.194729,0.012888,0.144015,59.989057,54872,0,54872,7.1748049178e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,7,70,"Success",0.000238,31.86129,27.210521,0.007932,0.43119,0.28589,0.01263,0.159549,59.969907,54872,0,54872,7.1748049178e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,8,70,"Success",0.000284,31.794437,27.188487,0.007927,0.579883,0.18073,0.013102,0.143687,59.909114,54872,0,54872,7.1748049178e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,9,70,"Success",0.000303,31.85144,27.318961,0.00751,0.486779,0.190778,0.015755,0.148698,60.020829,54872,0,54872,7.1748049178e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,10,70,"Success",0.000266,31.880989,27.194401,0.007626,0.387831,0.249048,0.016063,0.150021,59.886785,54872,0,54872,7.1748049178e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,11,70,"Success",0.000258,31.872744,27.229598,0.008248,0.539774,0.269744,0.014711,0.155794,60.091281,54872,0,54872,7.1748049178e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,0,71,"Warmup",0.000291,44.050177,38.792142,0.184104,1.59811,0.524526,0.190153,0.348089,85.688272,1042568,0,1042568,8.1662117994e-08,0
