; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404363345920,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1586036588,"CurrentTimeLocal","Sat Apr  4 23:43:08 2020","Hostname","csk004.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.1e-05
; "Time_ContextDestroy [ms]", 3.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,0,68,"Warmup",0.000245,4.800703,4.839847,0.00047,0.041193,0.044889,0.000913,0.009337,9.73809,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,1,68,"Warmup",0.000264,4.8241,4.814161,0.000355,0.04822,0.051117,0.000517,0.008901,9.748246,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,2,68,"Success",0.000304,4.796329,4.797149,0.000284,0.040001,0.044354,0.000709,0.011903,9.691635,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,3,68,"Success",0.000237,4.815032,4.828865,0.000302,0.047492,0.042705,0.00067,0.010156,9.746168,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,4,68,"Success",0.000213,4.788108,4.787318,0.000246,0.042889,0.066794,0.000858,0.008843,9.695844,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,5,68,"Success",0.000312,4.809141,4.792576,0.000264,0.041251,0.069439,0.001781,0.008836,9.724239,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,6,68,"Success",0.000207,4.78166,4.813055,0.000263,0.04286,0.045736,0.000895,0.008871,9.694289,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,7,68,"Success",0.000389,4.802947,4.794604,0.000269,0.046102,0.049333,0.000418,0.010289,9.704947,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,8,68,"Success",0.000213,4.760414,4.802761,0.000289,0.039549,0.042442,0.000755,0.008916,9.655905,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,9,68,"Success",0.000242,4.775897,4.809942,0.000295,0.043535,0.050823,0.001179,0.010836,9.693654,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,10,68,"Success",0.000242,4.777901,4.816401,0.000288,0.043069,0.048766,0.000573,0.013793,9.701605,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,11,68,"Success",0.000237,4.767906,4.810704,0.000229,0.043738,0.049157,0.000874,0.009453,9.683291,2888,0,2888,6.522535885e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,0,69,"Warmup",0.000284,26.641995,22.104998,0.0037,0.741272,0.434605,0.012073,0.148227,50.087543,54872,0,54872,7.5449420855e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,1,69,"Warmup",0.000308,26.70376,22.052858,0.007581,1.952824,0.405638,0.011035,0.149154,51.283514,54872,0,54872,7.5449420855e-08,0
