; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404345503744,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1586147952,"CurrentTimeLocal","Mon Apr  6 06:39:12 2020","Hostname","csk013.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 9.8e-05
; "Time_ContextDestroy [ms]", 3.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,0,64,"Warmup",0.002199,136.411758,137.001042,0.012788,0.120074,0.107789,0.013638,0.101023,273.770684,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,1,64,"Warmup",0.000217,137.109705,137.519299,0.011183,0.176131,0.10227,0.015232,0.098256,275.033204,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,2,64,"Success",0.00018,136.738488,137.688614,0.011722,0.136022,0.103218,0.013744,0.10323,274.79577,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,3,64,"Success",0.000253,138.209303,137.711939,0.011826,0.113858,0.10969,0.014499,0.103344,276.275355,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,4,64,"Success",0.000203,136.518742,137.828288,0.01099,0.118238,0.104999,0.014194,0.102568,274.698855,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,5,64,"Success",0.000261,138.896199,138.562678,0.011907,0.113439,0.107067,0.012673,0.130265,277.835114,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,6,64,"Success",0.00021,137.653898,137.387815,0.01069,0.12277,0.108988,0.013855,0.099718,275.398366,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,7,64,"Success",0.000287,137.041859,137.763206,0.01157,0.125733,0.106367,0.013825,0.101235,275.164487,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,8,64,"Success",0.000243,137.801066,138.814694,0.011754,0.122531,0.108985,0.012132,0.099444,276.971232,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,9,64,"Success",0.000226,137.889492,145.909917,0.012722,0.111877,0.108372,0.013635,0.104387,284.151026,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,10,64,"Success",0.000267,136.854088,136.963186,0.011414,0.118867,0.10513,0.013907,0.102913,274.171692,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,11,64,"Success",0.000237,137.277482,137.712481,0.012238,0.117534,0.107839,0.011903,0.112447,275.352544,54872,0,54872,8.3208862489e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,0,65,"Warmup",0.001727,719.84393,718.819539,0.180685,0.481691,0.454318,0.195658,0.214126,1440.19244,1042568,0,1042568,8.338712306e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,1,65,"Warmup",0.000342,724.908778,724.875544,0.187011,0.491555,0.452542,0.195445,0.206488,1451.318384,1042568,0,1042568,8.338712306e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,2,65,"Success",0.000304,721.441318,725.323579,0.180294,0.483773,0.455523,0.190242,0.219311,1448.294897,1042568,0,1042568,8.338712306e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,3,65,"Success",0.000346,719.745681,721.946879,0.179792,0.48269,0.45202,0.194318,0.216628,1443.21901,1042568,0,1042568,8.338712306e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,4,65,"Success",0.000294,1054.499481,721.152759,0.521425,0.543727,0.454769,0.206346,0.196582,1777.577892,1042568,0,1042568,8.338712306e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,5,65,"Success",0.000232,714.353765,714.705719,0.1736,0.468969,0.472624,0.193978,0.197511,1430.567001,1042568,0,1042568,8.338712306e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,6,65,"Success",0.000275,715.369034,711.683331,0.173817,0.470985,0.475882,0.192663,0.195337,1428.561824,1042568,0,1042568,8.338712306e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,7,65,"Success",0.000326,720.934042,721.651974,0.167584,0.4698,0.474315,0.191956,0.195276,1444.085912,1042568,0,1042568,8.338712306e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,8,65,"Success",0.000388,713.711806,720.777335,0.176675,0.481094,0.450419,0.211143,0.193156,1436.002493,1042568,0,1042568,8.338712306e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,9,65,"Success",0.000269,715.418448,715.546401,0.192803,0.469859,0.473484,0.192972,0.193293,1432.489812,1042568,0,1042568,8.338712306e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,10,65,"Success",0.000273,716.120852,712.030271,0.175586,0.472896,0.473239,0.193236,0.18563,1429.652563,1042568,0,1042568,8.338712306e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,11,65,"Success",0.000333,1082.357781,715.097298,0.47905,0.480656,0.473085,0.192591,0.200262,1799.281583,1042568,0,1042568,8.338712306e-08,0
