; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404363345920,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1602080311,"CurrentTimeLocal","Wed Oct  7 16:18:31 2020","Hostname","csk006.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.4e-05
; "Time_ContextDestroy [ms]", 3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,0,66,"Warmup",0.000335,0.025015,0.014563,0.000222,0.0015,0.00038,0.000101,0.001012,0.04341,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,1,66,"Warmup",0.0002,0.014624,0.013957,7.3e-05,0.000169,0.000162,5.6e-05,0.000826,0.030347,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,2,66,"Success",0.000228,0.014505,0.013844,7e-05,0.000165,0.000159,4.9e-05,0.000847,0.030148,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,3,66,"Success",0.00018,0.014477,0.013868,7.2e-05,0.000163,0.000153,4.6e-05,0.000829,0.030054,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,4,66,"Success",0.000182,0.014433,0.013843,7.4e-05,0.000168,0.000167,4.6e-05,0.000831,0.03001,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,5,66,"Success",0.00018,0.014486,0.013895,6.2e-05,0.000162,0.000169,4.2e-05,0.000825,0.030087,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,6,66,"Success",0.000182,0.0144,0.013867,5.2e-05,0.000162,0.000167,3.5e-05,0.000832,0.029965,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,7,66,"Success",0.00018,0.01448,0.013877,5.2e-05,0.000162,0.000153,3.8e-05,0.000827,0.030032,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,8,66,"Success",0.000173,0.014421,0.013884,5.9e-05,0.000162,0.000151,4.3e-05,0.00082,0.029978,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,9,66,"Success",0.000169,0.01449,0.013928,6.9e-05,0.00016,0.000164,4.5e-05,0.000824,0.030111,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,10,66,"Success",0.000172,0.014486,0.013913,6e-05,0.00016,0.000162,3.8e-05,0.000819,0.030072,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,11,66,"Success",0.000167,0.01444,0.013901,4.9e-05,0.000162,0.000163,3.9e-05,0.000837,0.030022,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,0,67,"Warmup",0.000226,0.021758,0.022825,0.000318,0.021896,0.005392,0.000292,0.001051,0.074034,2888,0,2888,1.1421735147e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,1,67,"Warmup",0.000208,0.021656,0.020963,0.000137,0.004661,0.004697,0.000127,0.000914,0.053649,2888,0,2888,1.1421735147e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,2,67,"Success",0.000208,0.021377,0.020742,0.000134,0.004569,0.004665,0.000135,0.0009,0.053014,2888,0,2888,1.1421735147e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,3,67,"Success",0.000221,0.021418,0.020835,0.00013,0.004593,0.004629,0.000102,0.000872,0.05309,2888,0,2888,1.1421735147e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,4,67,"Success",0.000206,0.025314,0.020876,0.000141,0.00457,0.004643,9.8e-05,0.000879,0.057017,2888,0,2888,1.1421735147e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,5,67,"Success",0.000196,0.021237,0.020572,0.000131,0.004558,0.004619,0.000102,0.000871,0.052574,2888,0,2888,1.1421735147e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,6,67,"Success",0.000207,0.021133,0.020661,0.000155,0.004558,0.004581,0.000105,0.000867,0.052551,2888,0,2888,1.1421735147e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,7,67,"Success",0.000207,0.021155,0.020605,0.000127,0.004555,0.004606,0.000102,0.000871,0.052503,2888,0,2888,1.1421735147e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,8,67,"Success",0.000206,0.021137,0.020559,0.000134,0.00455,0.004569,9.7e-05,0.000877,0.052412,2888,0,2888,1.1421735147e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,9,67,"Success",0.000205,0.021196,0.020573,0.000132,0.004565,0.004548,0.000103,0.000867,0.052471,2888,0,2888,1.1421735147e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,10,67,"Success",0.000207,0.021194,0.020615,0.000132,0.004566,0.004572,9.8e-05,0.000843,0.052511,2888,0,2888,1.1421735147e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,11,67,"Success",0.00021,0.021221,0.020688,0.000132,0.004551,0.00454,9.6e-05,0.000858,0.052579,2888,0,2888,1.1421735147e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,0,68,"Warmup",0.00033,0.222484,0.1676,0.004918,1.166482,0.118799,0.006522,0.015486,1.703131,54872,0,54872,2.0355918725e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,1,68,"Warmup",0.000392,0.28719,0.266931,0.006533,0.115578,0.092666,0.008917,0.015533,0.794165,54872,0,54872,2.0355918725e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,2,68,"Success",0.000467,0.258164,0.26636,0.007152,0.130775,0.093405,0.009188,0.015484,0.781442,54872,0,54872,2.0355918725e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,3,68,"Success",0.000324,0.259158,0.252364,0.004845,0.156638,0.118749,0.007945,0.016164,0.816621,54872,0,54872,2.0355918725e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,4,68,"Success",0.000328,0.256798,0.251653,0.004901,0.10187,0.12371,0.009302,0.015129,0.764121,54872,0,54872,2.0355918725e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,5,68,"Success",0.000321,0.258016,0.252533,0.00496,0.096732,0.099277,0.010099,0.017029,0.739395,54872,0,54872,2.0355918725e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,6,68,"Success",0.000306,0.27612,0.250988,0.004816,0.125889,0.109983,0.009641,0.014807,0.792977,54872,0,54872,2.0355918725e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,7,68,"Success",0.000288,0.269925,0.247385,0.00644,0.09695,0.117858,0.008213,0.016494,0.763996,54872,0,54872,2.0355918725e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,8,68,"Success",0.000334,0.255428,0.263905,0.005739,0.116677,0.11559,0.00984,0.014916,0.782851,54872,0,54872,2.0355918725e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,9,68,"Success",0.000292,0.257951,0.262211,0.007096,0.116727,0.095997,0.009398,0.015463,0.765562,54872,0,54872,2.0355918725e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,10,68,"Success",0.000288,0.2554,0.250687,0.007815,0.143779,0.122096,0.008916,0.015541,0.804947,54872,0,54872,2.0355918725e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,11,68,"Success",0.000296,0.25673,0.251489,0.005377,0.096855,0.119807,0.01109,0.031415,0.773486,54872,0,54872,2.0355918725e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,0,69,"Warmup",0.00059,0.316683,0.278318,0.163581,0.44813,0.34645,0.296486,0.014273,1.864937,1042568,0,1042568,1.146319721e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,1,69,"Warmup",0.00048,0.295187,0.271702,0.172134,0.396441,0.343708,0.293015,0.015086,1.788151,1042568,0,1042568,1.146319721e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,2,69,"Success",0.000418,0.290428,0.271157,0.178107,0.380004,0.344947,0.321737,0.013804,1.801013,1042568,0,1042568,1.146319721e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,3,69,"Success",0.000353,0.288733,0.281461,0.17187,0.508006,0.371125,0.300385,0.013604,1.935937,1042568,0,1042568,1.146319721e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,4,69,"Success",0.000349,0.295843,0.274776,0.171085,0.398348,0.448061,0.299759,0.014565,1.903199,1042568,0,1042568,1.146319721e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,5,69,"Success",0.000372,0.286788,0.271288,0.175611,1.848869,0.539643,0.316028,0.014158,3.453219,1042568,0,1042568,1.146319721e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,6,69,"Success",0.000425,0.287248,0.275402,0.182159,0.394825,0.351719,0.293369,0.014487,1.800041,1042568,0,1042568,1.146319721e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,7,69,"Success",0.000349,0.287109,0.269551,0.18682,0.376266,0.346991,0.321127,0.01344,1.802073,1042568,0,1042568,1.146319721e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,8,69,"Success",0.000336,0.287203,0.282581,0.176067,0.378404,0.35699,0.298458,0.014302,1.794741,1042568,0,1042568,1.146319721e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,9,69,"Success",0.00035,0.29704,0.275707,0.177617,0.373169,0.35864,0.302412,0.014523,1.799849,1042568,0,1042568,1.146319721e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,10,69,"Success",0.000387,0.286311,0.269554,0.175123,0.393404,0.348812,0.297948,0.014433,1.786383,1042568,0,1042568,1.146319721e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,11,69,"Success",0.00039,0.287855,0.271099,0.177634,0.386781,0.350446,0.319644,0.014219,1.80846,1042568,0,1042568,1.146319721e-07,0
