; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161580,"CurrentTimeLocal","Tue Sep 15 11:19:40 2020","Hostname","csk042.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.6e-05
; "Time_ContextDestroy [ms]", 3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,0,0,"Success",0.538408,4.010693,3.065454,14.866047,4.385512,12.970773,7.226882,0.801483,47.865981,67141632,0,33554432,2.7755578924e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,1,0,"Success",0.393521,3.666388,3.246932,11.848965,3.16505,11.633408,6.8263,0.793588,41.574665,67141632,0,33554432,2.7755578924e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,2,0,"Success",0.387279,3.378257,2.978835,11.751081,3.110123,11.723442,6.814565,0.786382,40.9306,67141632,0,33554432,2.7755578924e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,3,0,"Success",0.392078,3.377412,2.970758,11.841253,3.131748,11.733184,6.779068,0.783168,41.009561,67141632,0,33554432,2.7755578924e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,4,0,"Success",0.39421,3.354097,2.973209,11.738465,3.128943,11.750045,6.776364,0.778904,40.894976,67141632,0,33554432,2.7755578924e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,5,0,"Success",0.405313,3.35697,2.967101,11.973092,3.126334,11.737704,6.825455,0.782073,41.174535,67141632,0,33554432,2.7755578924e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,6,0,"Success",0.390498,3.363217,2.96464,11.703448,3.119434,11.674456,6.815013,0.780683,40.812023,67141632,0,33554432,2.7755578924e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,7,0,"Success",0.396724,3.370462,2.974549,11.822457,3.138966,11.603873,6.841528,0.78608,40.935727,67141632,0,33554432,2.7755578924e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,8,0,"Success",0.397169,3.384505,2.968239,11.846239,3.14709,11.823545,6.814459,0.77414,41.156212,67141632,0,33554432,2.7755578924e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,9,0,"Success",0.401447,3.363004,2.973262,11.82327,3.090723,11.658216,6.829195,0.788644,40.928466,67141632,0,33554432,2.7755578924e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,10,0,"Success",0.403469,3.358464,2.975151,11.799498,3.10712,11.679669,6.768269,0.782298,40.874673,67141632,0,33554432,2.7755578924e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,11,0,"Success",0.403488,3.358205,2.978632,11.839294,3.097383,11.776818,6.790399,0.776245,41.02109,67141632,0,33554432,2.7755578924e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,12,0,"Success",0.388962,3.355046,2.973346,11.996768,3.176781,11.795908,6.828452,0.782057,41.297985,67141632,0,33554432,2.7755578924e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,13,0,"Success",0.387929,3.378819,2.971568,11.816709,3.131947,11.639825,6.860169,0.789307,40.97723,67141632,0,33554432,2.7755578924e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,14,0,"Success",0.391072,3.370688,2.969434,11.847142,3.120601,11.768342,6.832633,0.783937,41.084856,67141632,0,33554432,2.7755578924e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,15,0,"Success",0.384349,3.356759,2.970042,11.946086,3.223136,11.706125,6.826777,0.795539,41.209453,67141632,0,33554432,2.7755578924e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,16,0,"Success",0.391383,3.370089,2.968078,11.639107,3.131935,11.709798,6.80926,0.798077,40.818379,67141632,0,33554432,2.7755578924e-17,0
