; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404345507840,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600864284,"CurrentTimeLocal","Wed Sep 23 14:31:24 2020","Hostname","csk092.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.6e-05
; "Time_ContextDestroy [ms]", 3.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,0,0,"Success",0.008287,16.812959,16.365405,1.276758,1.717884,0.554078,0.42104,0.388416,37.54549,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,1,0,"Success",0.009504,18.436935,17.153325,1.325942,0.696541,0.519249,0.383492,0.153371,38.678839,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,2,0,"Success",0.003397,18.23614,16.223388,0.438119,0.637838,0.506427,0.37076,0.152035,36.568585,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,3,0,"Success",0.003478,18.177979,16.165739,0.433514,0.645316,0.489485,0.358258,0.12443,36.398702,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,4,0,"Success",0.003422,18.160085,16.20858,0.431153,0.648408,0.488269,0.361586,0.152727,36.454775,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,5,0,"Success",0.00344,18.236085,16.209296,0.436728,0.646762,0.485797,0.361779,0.142338,36.522691,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,6,0,"Success",0.003494,18.195573,16.147619,0.440944,0.64576,0.5199,0.356818,0.154084,36.464685,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,7,0,"Success",0.00352,18.258843,16.13264,0.440547,0.646893,0.519071,0.361598,0.14036,36.504002,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,8,0,"Success",0.003362,18.211605,16.127382,0.437535,0.650111,0.518763,0.353768,0.164109,36.467179,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,9,0,"Success",0.003444,18.299029,16.293692,0.434255,0.634325,0.517846,0.361265,0.14085,36.685432,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,10,0,"Success",0.003434,18.200214,16.12744,0.449177,0.638608,0.519589,0.34511,0.165214,36.449315,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,11,0,"Success",0.003511,18.269857,16.202934,0.435552,0.643712,0.486573,0.345346,0.150289,36.538296,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,12,0,"Success",0.003397,18.260845,16.156068,0.441171,0.633093,0.519291,0.345928,0.161472,36.521797,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,13,0,"Success",0.00346,18.295442,16.265578,0.436397,0.648173,0.519722,0.357891,0.142574,36.669814,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,14,0,"Success",0.003402,18.215256,16.26467,0.441455,0.633986,0.488303,0.343055,0.163562,36.554222,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,15,0,"Success",0.003431,18.267775,16.143554,0.441423,0.643627,0.519197,0.345849,0.150843,36.516315,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,16,0,"Success",0.003458,18.237532,16.134667,0.435171,0.645349,0.489071,0.34119,0.161062,36.448034,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,17,0,"Success",0.003657,18.283418,16.124738,0.444132,0.609088,0.53242,0.342374,0.141084,36.481463,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,18,0,"Success",0.003468,18.382352,17.078955,0.451502,0.628631,0.502759,0.333265,0.154221,37.535661,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,19,0,"Success",0.003484,18.33349,16.127024,0.450052,0.693869,0.502156,0.344384,0.140129,36.595208,3037968,0,2996352,6.9603414721e-17,0
