; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404345507840,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600864232,"CurrentTimeLocal","Wed Sep 23 14:30:32 2020","Hostname","csk092.cluster","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 9.1e-05
; "Time_ContextDestroy [ms]", 3.8e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,0,0,"Success",0.008672,7.958822,7.91216,0.889582,1.116039,0.19573,0.278627,0.299332,18.713423,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,1,0,"Success",0.00922,9.174924,8.691182,0.786079,0.315116,0.177124,0.245677,0.149797,19.57813,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,2,0,"Success",0.003711,9.061408,8.721183,0.279094,0.312646,0.177763,0.241107,0.132293,18.961804,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,3,0,"Success",0.003566,9.00501,8.677504,0.278141,0.295738,0.176651,0.23524,0.140095,18.839372,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,4,0,"Success",0.003512,8.98983,8.672648,0.275737,0.297236,0.180332,0.233101,0.146533,18.826254,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,5,0,"Success",0.003565,9.040824,8.688364,0.280732,0.307655,0.175687,0.239284,0.133304,18.897905,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,6,0,"Success",0.003689,8.998543,8.763647,0.279585,0.294206,0.175556,0.231246,0.127322,18.90123,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,7,0,"Success",0.003467,9.090818,8.669151,0.279669,0.30738,0.174945,0.235274,0.133568,18.925357,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,8,0,"Success",0.003576,8.993025,8.663204,0.282671,0.299787,0.178436,0.230253,0.146913,18.825364,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,9,0,"Success",0.003603,9.041876,8.663993,0.276194,0.311731,0.175754,0.231824,0.133922,18.86628,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,10,0,"Success",0.003667,8.995794,8.748784,0.280431,0.299224,0.176123,0.230257,0.127978,18.889443,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,11,0,"Success",0.003504,9.044152,8.68173,0.277363,0.315285,0.175942,0.22916,0.135365,18.890462,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,12,0,"Success",0.003433,8.997617,8.721424,0.27852,0.311868,0.178627,0.230426,0.146867,18.899367,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,13,0,"Success",0.003593,9.042177,8.661197,0.276033,0.307415,0.174509,0.230626,0.133748,18.857283,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,14,0,"Success",0.003716,8.996082,8.746079,0.28168,0.307937,0.175223,0.229371,0.128329,18.896739,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,15,0,"Success",0.003472,9.089752,8.671797,0.27839,0.306502,0.177131,0.22072,0.135939,18.911239,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,16,0,"Success",0.003513,8.985133,8.68081,0.278838,0.309654,0.177968,0.224457,0.143216,18.831324,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,17,0,"Success",0.003654,9.043971,8.666186,0.28307,0.310208,0.174595,0.228433,0.135911,18.876785,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,18,0,"Success",0.003696,8.997112,8.755396,0.281103,0.310511,0.175114,0.225701,0.128478,18.904501,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,19,0,"Success",0.003427,9.058838,8.664948,0.279745,0.306207,0.175443,0.226596,0.135553,18.878644,2041200,0,2025000,1.2852379761e-16,0
