; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161943,"CurrentTimeLocal","Tue Sep 15 11:25:43 2020","Hostname","csk040.cluster","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 7.3e-05
; "Time_ContextDestroy [ms]", 4.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,0,2,"Success",0.008892,18.026437,16.13113,1.205569,0.661723,0.488466,0.332637,0.385921,37.272453,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,1,2,"Success",0.413332,18.137939,16.201545,0.483933,0.615166,0.503352,0.382266,0.133274,36.900296,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,2,2,"Success",0.003529,18.219034,16.186096,0.413708,0.595576,0.513659,0.344592,0.12632,36.436398,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,3,2,"Success",0.003465,18.177335,16.17831,0.408997,0.628071,0.481492,0.354727,0.125199,36.385938,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,4,2,"Success",0.003491,18.192505,16.136352,0.415103,0.618577,0.483465,0.343162,0.136355,36.356923,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,5,2,"Success",0.003461,18.226005,16.241364,0.417365,0.618694,0.514466,0.344814,0.134756,36.531986,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,6,2,"Success",0.003471,18.21328,16.121115,0.408963,0.605213,0.526226,0.343552,0.124549,36.374255,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,7,2,"Success",0.003511,18.08163,16.116225,0.419005,0.597751,0.51553,0.336814,0.12717,36.224895,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,8,2,"Success",0.003475,18.148155,16.11821,0.409788,0.622142,0.511669,0.347328,0.126496,36.315095,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,9,2,"Success",0.003533,18.179542,16.15225,0.416069,0.618707,0.481835,0.344927,0.134205,36.362465,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,10,2,"Success",0.003475,18.213576,16.123537,0.415106,0.596823,0.530264,0.339304,0.124604,36.374633,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,11,2,"Success",0.003475,18.147636,16.131326,0.40718,0.60218,0.49985,0.34407,0.123407,36.291176,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,12,2,"Success",0.003565,18.136281,16.127018,0.415036,0.618044,0.516764,0.344101,0.125563,36.313702,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,13,2,"Success",0.003583,18.169864,16.124008,0.410973,0.617186,0.511859,0.34228,0.134632,36.342079,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,14,2,"Success",0.003518,18.201641,16.126625,0.414124,0.607321,0.5294,0.33867,0.123812,36.3768,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,15,2,"Success",0.003484,18.072821,16.109006,0.411344,0.605035,0.505762,0.335026,0.12407,36.194739,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,16,2,"Success",0.00343,18.12998,16.112592,0.410015,0.617481,0.51443,0.344799,0.124866,36.284768,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,17,2,"Success",0.003509,18.176399,16.111612,0.417187,0.603229,0.511414,0.338629,0.133173,36.325571,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,18,2,"Success",0.003522,18.224087,16.113028,0.412254,0.584962,0.530391,0.337345,0.126042,36.359634,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,19,2,"Success",0.003543,18.089051,16.121238,0.408465,0.604924,0.524206,0.332928,0.125869,36.240495,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,0,3,"Success",0.008654,14.164941,13.114169,1.170719,0.452288,0.415784,0.434819,0.298363,30.088681,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,1,3,"Success",0.009398,14.547427,13.105813,1.622085,0.49252,0.423415,0.510655,0.189513,30.929749,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,2,3,"Success",0.003781,14.435777,13.068314,0.528145,0.454587,0.360152,0.468011,0.162921,29.510675,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,3,3,"Success",0.003493,14.411789,13.135988,0.532768,0.454857,0.388987,0.470534,0.173232,29.599935,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,4,3,"Success",0.003485,14.378472,13.058915,0.529305,0.453962,0.386003,0.45675,0.168317,29.467524,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,5,3,"Success",0.003508,14.356549,13.073188,0.529669,0.456834,0.355804,0.447216,0.168234,29.419225,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,6,3,"Success",0.003538,14.374651,13.055352,0.527087,0.448762,0.398022,0.453391,0.167848,29.457027,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,7,3,"Success",0.003516,14.365485,13.060588,0.530726,0.455677,0.388008,0.449705,0.168648,29.450486,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,8,3,"Success",0.003492,14.377433,13.059925,0.530749,0.454466,0.384,0.455765,0.16906,29.467493,3678400,0,3630000,1.4334338601e-16,0
