; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161267,"CurrentTimeLocal","Tue Sep 15 11:14:27 2020","Hostname","csk042.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.4e-05
; "Time_ContextDestroy [ms]", 3.4e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,0,0,"Success",0.517089,376.494173,0.508647,20.573928,79.324436,54.865478,7.129472,0.669092,540.08368,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,1,0,"Success",0.398301,0.508019,0.476159,13.596897,3.366163,3.871089,6.936943,0.657046,29.811437,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,2,0,"Success",0.382343,0.505345,0.452488,13.609181,3.282592,2.987067,6.86743,0.656639,28.74389,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,3,0,"Success",0.392025,0.508855,0.452221,13.693261,2.385129,2.25517,6.919951,0.642178,27.249591,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,4,0,"Success",0.392794,0.485603,0.472121,13.709803,2.387968,3.048318,6.902502,0.648757,28.048838,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,5,0,"Success",0.397457,0.506326,0.452757,13.653076,2.42051,2.924152,6.883601,0.64629,27.885319,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,6,0,"Success",0.400084,0.501502,0.453687,13.632691,2.346373,2.562897,6.863524,0.64353,27.405076,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,7,0,"Success",0.403335,0.49847,0.457935,13.730429,2.402476,3.136994,6.899229,0.646485,28.17638,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,8,0,"Success",0.40563,0.485625,0.456639,13.620583,2.396262,3.019488,6.862133,0.646104,27.893955,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,9,0,"Success",0.411718,0.48437,0.462039,13.700913,2.409722,2.377382,6.909752,0.643877,27.400615,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,10,0,"Success",0.408936,0.484417,0.451924,13.705673,2.421713,3.439273,6.920754,0.647792,28.481174,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,11,0,"Success",0.403076,0.501333,0.455113,13.630886,2.450682,2.965425,6.858001,0.642138,27.907454,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,12,0,"Success",0.394304,0.50304,0.45193,13.65547,2.403248,2.588225,6.924419,0.661615,27.583125,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,13,0,"Success",0.404646,0.504619,0.454143,13.651736,2.391791,3.373318,6.840175,0.651792,28.273532,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,14,0,"Success",0.402915,0.481275,0.462313,13.53268,2.376462,2.405374,6.866678,0.650505,27.179051,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,15,0,"Success",0.403264,0.498457,0.457947,13.609992,2.3678,2.308164,6.850595,0.647398,27.145148,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,16,0,"Success",0.409965,0.485136,0.456869,13.600252,2.355151,3.19047,6.862742,0.644752,28.006924,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,17,0,"Success",0.399867,0.483399,0.474256,13.672975,2.355015,3.169089,6.920355,0.644442,28.120597,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,18,0,"Success",0.402697,0.503114,0.453051,13.68324,2.34813,2.962601,6.905288,0.642894,27.901974,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,19,0,"Success",0.409427,0.485361,0.457666,13.694833,2.383845,3.183463,6.933647,0.646108,28.195195,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,0,1,"Success",0.422808,1.573709,0.779375,54.367341,15.133533,16.984927,28.465101,1.250732,118.978645,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,1,1,"Success",0.420152,0.574307,0.728736,55.176408,11.261467,14.083641,28.444166,1.245467,111.935326,268500992,0,134217728,2.7755576443e-17,0
