; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161928,"CurrentTimeLocal","Tue Sep 15 11:25:28 2020","Hostname","csk042.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.7e-05
; "Time_ContextDestroy [ms]", 3.4e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",100,0,0,0,0,"Success",0.000779,0.057681,0.004346,0.000442,0.026758,0.03287,0.000257,0.001858,0.125333,1600,0,1600,7.1966766465e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",100,0,0,1,0,"Success",0.0002,0.005484,0.00405,0.000104,0.00027,0.000254,8.2e-05,0.000957,0.011667,1600,0,1600,7.1966766465e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",100,0,0,2,0,"Success",0.000151,0.004297,0.003902,8.5e-05,0.000226,0.000209,6.6e-05,0.000868,0.010065,1600,0,1600,7.1966766465e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",100,0,0,3,0,"Success",0.00014,0.004173,0.003915,8.3e-05,0.000203,0.000208,6.2e-05,0.000854,0.009902,1600,0,1600,7.1966766465e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",100,0,0,4,0,"Success",0.000131,0.004153,0.003914,8.5e-05,0.000205,0.000213,5.5e-05,0.000853,0.009868,1600,0,1600,7.1966766465e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",100,0,0,5,0,"Success",0.000129,0.004146,0.003915,8.7e-05,0.000203,0.000208,5.4e-05,0.000846,0.009858,1600,0,1600,7.1966766465e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",100,0,0,6,0,"Success",0.000132,0.004133,0.003916,8.6e-05,0.000205,0.000208,5.6e-05,0.000844,0.009839,1600,0,1600,7.1966766465e-17,0
