; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161239,"CurrentTimeLocal","Tue Sep 15 11:13:59 2020","Hostname","csk040.cluster","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 0.000267
; "Time_ContextDestroy [ms]", 5.2e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,0,0,"Success",0.43644,457.393089,0.521444,21.331433,110.914433,82.94839,7.165313,0.670376,681.508223,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,1,0,"Success",0.374671,0.48772,0.477925,13.937041,2.727329,2.966816,6.873921,0.626176,28.511665,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,2,0,"Success",0.376301,0.500602,0.45492,14.032821,2.715135,2.999995,6.919981,0.621882,28.666994,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,3,0,"Success",0.391388,0.483346,0.457347,14.048668,2.711608,2.95312,6.849093,0.618424,28.553046,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,4,0,"Success",0.388154,0.49879,0.458031,14.020632,2.693221,2.962822,6.902121,0.620995,28.586132,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,5,0,"Success",0.370224,0.498695,0.452072,14.023286,2.630524,2.727901,6.861361,0.615739,28.219832,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,6,0,"Success",0.401349,0.480858,0.458897,14.111826,2.645056,2.868,6.880543,0.621084,28.507862,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,7,0,"Success",0.383523,0.497136,0.457625,14.039008,2.627736,2.825642,6.812722,0.621616,28.309064,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,8,0,"Success",0.401343,0.499554,0.452618,14.08659,2.085151,2.822998,6.930948,0.622036,27.951274,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,9,0,"Success",0.402691,0.510871,0.485623,14.280445,1.990992,2.444473,6.928784,0.623975,27.729104,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,10,0,"Success",0.403585,0.505764,0.454422,14.107045,1.968044,2.462604,6.849283,0.617763,27.409309,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,11,0,"Success",0.383016,0.504095,0.453507,14.047147,1.91836,2.60682,6.819824,0.617774,27.392314,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,12,0,"Success",0.410538,0.483865,0.458182,14.031325,1.971246,2.352189,6.81488,0.615154,27.182127,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,13,0,"Success",0.387132,0.488434,0.457407,14.064915,1.961343,2.978221,6.807185,0.621749,27.807272,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,14,0,"Success",0.38625,0.501313,0.452595,14.104286,1.964822,2.273838,6.853099,0.616388,27.194813,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,15,0,"Success",0.376646,0.496837,0.452043,14.079401,1.929945,3.340153,6.842492,0.611946,28.171217,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,16,0,"Success",0.405031,0.483274,0.456854,14.044306,1.928883,2.421075,6.877284,0.612832,27.271127,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,17,0,"Success",0.408347,0.485523,0.458607,14.080465,1.972816,3.177945,6.839003,0.614826,28.085613,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,18,0,"Success",0.408687,0.486407,0.4616,14.065081,1.968126,3.106842,6.894003,0.614831,28.047158,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",2048,2048,0,19,0,"Success",0.39221,0.48612,0.456843,14.086009,1.934319,3.038655,6.789372,0.615999,27.84162,67141632,0,33554432,2.7755578924e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,0,1,"Success",0.455769,1.392789,0.745381,56.785274,14.60675,18.076191,28.088765,1.216319,121.439206,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,1,1,"Success",0.411495,0.573319,0.69763,54.637749,11.120481,13.631233,28.151285,1.208528,110.489281,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,2,1,"Success",0.407696,0.587976,0.698278,54.867005,11.119526,13.564803,28.325877,1.199745,110.823245,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,3,1,"Success",0.402985,0.589116,0.693711,54.587646,11.333226,14.420678,28.137204,1.197064,111.4133,268500992,0,134217728,2.7755576443e-17,0
