; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161896,"CurrentTimeLocal","Tue Sep 15 11:24:56 2020","Hostname","csk040.cluster","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 0.000248
; "Time_ContextDestroy [ms]", 3.4e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",100,0,0,0,0,"Success",0.000715,0.061857,0.004808,0.00028,0.06277,0.013273,0.000182,0.001901,0.185369,1600,0,1600,7.1966766465e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",100,0,0,1,0,"Success",0.000347,0.005063,0.00428,0.000172,0.000332,0.000276,0.000104,0.001144,0.022483,1600,0,1600,7.1966766465e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",100,0,0,2,0,"Success",0.000211,0.004398,0.004129,8.5e-05,0.000234,0.000213,7.8e-05,0.000977,0.02254,1600,0,1600,7.1966766465e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",100,0,0,3,0,"Success",0.0002,0.004343,0.004107,7.2e-05,0.000236,0.000205,8.6e-05,0.000941,0.020533,1600,0,1600,7.1966766465e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",100,0,0,4,0,"Success",0.000179,0.004307,0.004072,7.3e-05,0.000229,0.000197,8.6e-05,0.000948,0.020414,1600,0,1600,7.1966766465e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",100,0,0,5,0,"Success",0.000188,0.004315,0.004056,7.1e-05,0.000228,0.000191,8.8e-05,0.000952,0.02041,1600,0,1600,7.1966766465e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",100,0,0,6,0,"Success",0.000189,0.004309,0.00407,8.6e-05,0.000227,0.000197,7.3e-05,0.000956,0.020456,1600,0,1600,7.1966766465e-17,0
