; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404345507840,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600864227,"CurrentTimeLocal","Wed Sep 23 14:30:27 2020","Hostname","csk092.cluster","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 6.9e-05
; "Time_ContextDestroy [ms]", 4.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",45,45,125,0,0,"Success",0.00439,0.215578,0.052947,0.947471,2.678222,0.366819,0.330544,0.228156,4.888992,2041200,0,2025000,1.5669007079e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",45,45,125,1,0,"Success",0.005845,0.076242,0.045638,1.116648,0.282709,0.226834,0.248008,0.023268,2.047486,2041200,0,2025000,1.5669007079e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",45,45,125,2,0,"Success",0.00105,0.060545,0.040254,0.299255,0.271561,0.225442,0.234247,0.021033,1.177173,2041200,0,2025000,1.5669007079e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",45,45,125,3,0,"Success",0.000956,0.057876,0.039266,0.299734,0.267141,0.223262,0.22183,0.020565,1.150706,2041200,0,2025000,1.5669007079e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",45,45,125,4,0,"Success",0.000962,0.056663,0.039067,0.296799,0.263329,0.224236,0.221813,0.020877,1.143426,2041200,0,2025000,1.5669007079e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",45,45,125,5,0,"Success",0.000914,0.056052,0.039073,0.297982,0.268546,0.234586,0.221156,0.020749,1.158944,2041200,0,2025000,1.5669007079e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",45,45,125,6,0,"Success",0.000936,0.056065,0.038721,0.302751,0.262135,0.230079,0.220203,0.020533,1.151465,2041200,0,2025000,1.5669007079e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",45,45,125,7,0,"Success",0.000938,0.055796,0.038643,0.296675,0.260733,0.230449,0.222057,0.021089,1.14948,2041200,0,2025000,1.5669007079e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",45,45,125,8,0,"Success",0.000956,0.05561,0.038589,0.299939,0.267318,0.230865,0.217964,0.020411,1.15137,2041200,0,2025000,1.5669007079e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",45,45,125,9,0,"Success",0.000938,0.055799,0.039011,0.297464,0.27008,0.225292,0.226165,0.020661,1.155797,2041200,0,2025000,1.5669007079e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",45,45,125,10,0,"Success",0.000858,0.06292,0.039141,0.296909,0.254499,0.223079,0.229579,0.02004,1.147313,2041200,0,2025000,1.5669007079e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",45,45,125,11,0,"Success",0.000884,0.055536,0.038397,0.307234,0.256683,0.223587,0.227531,0.020382,1.150059,2041200,0,2025000,1.5669007079e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",45,45,125,12,0,"Success",0.0009,0.055144,0.038749,0.305146,0.263647,0.224144,0.221316,0.020156,1.150953,2041200,0,2025000,1.5669007079e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",45,45,125,13,0,"Success",0.000915,0.054985,0.038547,0.307828,0.266083,0.224731,0.221748,0.020393,1.155158,2041200,0,2025000,1.5669007079e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",45,45,125,14,0,"Success",0.000987,0.05522,0.038644,0.309204,0.26528,0.226164,0.222716,0.020459,1.158571,2041200,0,2025000,1.5669007079e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",45,45,125,15,0,"Success",0.000998,0.0551,0.038475,0.308023,0.263496,0.226018,0.219383,0.020457,1.151533,2041200,0,2025000,1.5669007079e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",45,45,125,16,0,"Success",0.000983,0.055734,0.038801,0.301653,0.260474,0.22483,0.218907,0.020719,1.141989,2041200,0,2025000,1.5669007079e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",45,45,125,17,0,"Success",0.000998,0.055578,0.039258,0.298996,0.263502,0.228771,0.220075,0.021031,1.14963,2041200,0,2025000,1.5669007079e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",45,45,125,18,0,"Success",0.000975,0.055068,0.038511,0.300092,0.275896,0.222883,0.221122,0.020595,1.154893,2041200,0,2025000,1.5669007079e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",45,45,125,19,0,"Success",0.000994,0.055635,0.038829,0.299569,0.260583,0.229796,0.223192,0.020847,1.14911,2041200,0,2025000,1.5669007079e-16,0
